cluster_name,command,calls,usec
demo-session-cache,get,500000000,650000000
demo-session-cache,set,200000000,400000000
demo-session-cache,hget,50000000,75000000
demo-session-cache,hset,30000000,90000000
demo-session-cache,hgetall,20000000,180000000
demo-session-cache,del,15000000,22000000
demo-session-cache,expire,80000000,72000000
demo-session-cache,ttl,25000000,30000000
demo-session-cache,exists,10000000,12000000
demo-session-cache,ping,5000000,2000000
demo-session-cache,info,1000,50000
demo-leaderboard,get,100000000,130000000
demo-leaderboard,set,50000000,100000000
demo-leaderboard,zadd,800000000,7200000000
demo-leaderboard,zrange,500000000,3500000000
demo-leaderboard,zrangebyscore,200000000,1800000000
demo-leaderboard,zrem,100000000,400000000
demo-leaderboard,zincrby,300000000,900000000
demo-leaderboard,zscore,50000000,60000000
demo-leaderboard,ping,10000000,4000000
